Time,Power,Force,Tail Length,EFO Current,Temp,Ball-area,Ball-Version,Ball-Shear,Ball-Size(X) ,Ball-Size(Y) ,Ball-Size(Z) 
40,60,40,250,35,160,25,0,47.84,82,79,13
40,60,40,250,35,160,25,0,52.43,72,74,10
40,60,40,250,35,160,25,0,53.06,75,81,10
40,60,40,250,35,160,25,0,50.08,74,75,12
40,60,40,250,35,160,25,0,54.55,77,81,10
40,60,40,250,35,160,25,0,50.65,74,79,9
40,60,40,250,35,160,25,0,51.05,78,81,10
40,60,40,250,35,160,25,0,51.36,72,77,11
40,60,40,250,35,160,25,0,49.08,75,80,12
40,60,40,250,35,160,25,0,48.07,72,76,11
40,60,50,250,35,160,5,1,41.497,77,81,14
40,60,50,250,35,160,5,1,48.803,74,74,16
40,60,50,250,35,160,5,1,47.858,75,76,11
40,60,50,250,35,160,5,1,45.647,75,75,11
40,60,50,250,35,160,5,1,47.882,75,78,12
40,60,50,250,35,160,5,1,49.527,78,83,11
40,60,50,250,35,160,5,1,44.035,77,84,12
40,60,50,250,35,160,5,1,50.376,77,78,14
40,60,50,250,35,160,5,1,46.284,75,80,14
40,60,50,250,35,160,5,1,47.765,75,77,11
40,60,50,250,35,160,5,0,41.235,78,82,13
40,60,50,250,35,160,5,0,48.928,75,78,10
40,60,50,250,35,160,5,0,46.158,78,82,9
40,60,50,250,35,160,5,0,40.094,78,79,11
40,60,50,250,35,160,5,0,49.895,77,79,12
40,60,50,250,35,160,5,0,43.331,78,83,11
40,60,50,250,35,160,5,0,47.041,78,81,10
40,60,50,250,35,160,5,0,47.133,75,80,10
40,60,50,250,35,160,5,0,49.23,77,81,13
40,60,50,250,35,160,5,0,45.9,71,78,15
40,60,50,250,35,160,15,1,44.19,77,83,13
40,60,50,250,35,160,15,1,43.262,74,79,12
40,60,50,250,35,160,15,1,50.336,74,77,10
40,60,50,250,35,160,15,1,47.975,74,79,11
40,60,50,250,35,160,15,1,42.773,77,84,10
40,60,50,250,35,160,15,1,47.77,77,77,17
40,60,50,250,35,160,15,1,46.51,77,79,10
40,60,50,250,35,160,15,1,49.953,75,76,12
40,60,50,250,35,160,15,1,47.382,77,81,12
40,60,50,250,35,160,15,1,47.645,74,74,13
40,60,50,250,35,160,15,0,46.056,75,82,10
40,60,50,250,35,160,15,0,44.305,74,78,12
40,60,50,250,35,160,15,0,50.942,75,82,12
40,60,50,250,35,160,15,0,45.288,78,79,11
40,60,50,250,35,160,15,0,46.56,75,84,10
40,60,50,250,35,160,15,0,44.996,75,79,12
40,60,50,250,35,160,15,0,46.757,75,80,13
40,60,50,250,35,160,15,0,50.538,71,76,11
40,60,50,250,35,160,15,0,49.513,75,83,11
40,60,50,250,35,160,15,0,49.575,74,75,10
